Team,Spielernummer,Anzahl,Event,Jahr
"1. ASC Badener Greifs","1","5","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","1","6","Touchdown","2021"
"1. ASC Badener Greifs","3","4","Touchdown","2021"
"1. ASC Badener Greifs","3","1","First Down","2021"
"1. ASC Badener Greifs","4","17","Interception","2021"
"1. ASC Badener Greifs","4","7","Touchdown","2021"
"1. ASC Badener Greifs","4","2","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","5","1","Interception","2021"
"1. ASC Badener Greifs","6","15","Touchdown","2021"
"1. ASC Badener Greifs","6","8","Interception","2021"
"1. ASC Badener Greifs","6","5","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","10","1","First Down","2021"
"1. ASC Badener Greifs","11","1","Strafe","2021"
"1. ASC Badener Greifs","12","1","Interception","2021"
"1. ASC Badener Greifs","12","1","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","12","1","First Down","2021"
"1. ASC Badener Greifs","13","5","Touchdown","2021"
"1. ASC Badener Greifs","13","6","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","14","2","First Down","2021"
"1. ASC Badener Greifs","14","2","Touchdown","2021"
"1. ASC Badener Greifs","14","1","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","15","1","Safety (+2)","2021"
"1. ASC Badener Greifs","16","1","Touchdown","2021"
"1. ASC Badener Greifs","16","2","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","17","1","Strafe","2021"
"1. ASC Badener Greifs","17","8","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","17","2","First Down","2021"
"1. ASC Badener Greifs","17","3","Touchdown","2021"
"1. ASC Badener Greifs","19","43","Touchdown","2021"
"1. ASC Badener Greifs","19","2","Strafe","2021"
"1. ASC Badener Greifs","19","1","Interception","2021"
"1. ASC Badener Greifs","19","23","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","19","14","First Down","2021"
"1. ASC Badener Greifs","31","1","Touchdown","2021"
"1. ASC Badener Greifs","31","1","Strafe","2021"
"1. ASC Badener Greifs","31","5","Interception","2021"
"1. ASC Badener Greifs","36","2","First Down","2021"
"1. ASC Badener Greifs","36","1","Touchdown","2021"
"1. ASC Badener Greifs","36","2","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","36","7","Interception","2021"
"1. ASC Badener Greifs","44","2","Strafe","2021"
"1. ASC Badener Greifs","70","6","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","70","6","First Down","2021"
"1. ASC Badener Greifs","70","1","2-Extra-Punkte","2021"
"1. ASC Badener Greifs","70","6","Touchdown","2021"
"1. ASC Badener Greifs","83","11","Touchdown","2021"
"1. ASC Badener Greifs","83","4","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","83","7","First Down","2021"
"1. ASC Badener Greifs","99","2","Strafe","2021"
"1. ASC Badener Greifs","99","31","Touchdown","2021"
"1. ASC Badener Greifs","99","22","1-Extra-Punkt","2021"
"1. ASC Badener Greifs","99","1","2-Extra-Punkte","2021"
"1. ASC Badener Greifs","99","12","First Down","2021"
"1. ASC Badener Greifs","0","2","Strafe","2022"
"1. ASC Badener Greifs","2","1","Safety (+2)","2022"
"1. ASC Badener Greifs","3","1","First Down","2022"
"1. ASC Badener Greifs","3","4","Touchdown","2022"
"1. ASC Badener Greifs","4","6","Touchdown","2022"
"1. ASC Badener Greifs","4","1","Safety (+2)","2022"
"1. ASC Badener Greifs","4","12","Interception","2022"
"1. ASC Badener Greifs","4","1","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","6","2","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","6","5","Touchdown","2022"
"1. ASC Badener Greifs","6","8","Interception","2022"
"1. ASC Badener Greifs","9","1","Interception","2022"
"1. ASC Badener Greifs","11","5","Interception","2022"
"1. ASC Badener Greifs","11","1","First Down","2022"
"1. ASC Badener Greifs","11","1","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","11","1","Touchdown","2022"
"1. ASC Badener Greifs","11","2","Strafe","2022"
"1. ASC Badener Greifs","13","1","Touchdown","2022"
"1. ASC Badener Greifs","14","1","Touchdown","2022"
"1. ASC Badener Greifs","14","1","First Down","2022"
"1. ASC Badener Greifs","14","1","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","17","3","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","17","5","Touchdown","2022"
"1. ASC Badener Greifs","17","5","First Down","2022"
"1. ASC Badener Greifs","19","3","2-Extra-Punkte","2022"
"1. ASC Badener Greifs","19","23","First Down","2022"
"1. ASC Badener Greifs","19","32","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","19","72","Touchdown","2022"
"1. ASC Badener Greifs","22","1","Strafe","2022"
"1. ASC Badener Greifs","23","1","Safety (+2)","2022"
"1. ASC Badener Greifs","25","3","Touchdown","2022"
"1. ASC Badener Greifs","25","3","First Down","2022"
"1. ASC Badener Greifs","25","1","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","27","4","Touchdown","2022"
"1. ASC Badener Greifs","27","6","First Down","2022"
"1. ASC Badener Greifs","27","1","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","31","1","Strafe","2022"
"1. ASC Badener Greifs","31","3","Interception","2022"
"1. ASC Badener Greifs","31","2","Touchdown","2022"
"1. ASC Badener Greifs","33","1","Touchdown","2022"
"1. ASC Badener Greifs","42","2","Touchdown","2022"
"1. ASC Badener Greifs","42","3","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","42","4","Interception","2022"
"1. ASC Badener Greifs","44","3","Strafe","2022"
"1. ASC Badener Greifs","69","1","Strafe","2022"
"1. ASC Badener Greifs","70","1","Strafe","2022"
"1. ASC Badener Greifs","70","11","First Down","2022"
"1. ASC Badener Greifs","70","1","2-Extra-Punkte","2022"
"1. ASC Badener Greifs","70","7","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","70","7","Touchdown","2022"
"1. ASC Badener Greifs","83","1","Strafe","2022"
"1. ASC Badener Greifs","83","26","First Down","2022"
"1. ASC Badener Greifs","83","9","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","83","25","Touchdown","2022"
"1. ASC Badener Greifs","99","34","1-Extra-Punkt","2022"
"1. ASC Badener Greifs","99","27","Touchdown","2022"
"1. ASC Badener Greifs","99","1","Strafe","2022"
"1. ASC Badener Greifs","99","10","First Down","2022"
"1. ASC Badener Greifs","3","8","Touchdown","2023"
"1. ASC Badener Greifs","4","7","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","4","7","Interception","2023"
"1. ASC Badener Greifs","4","14","Touchdown","2023"
"1. ASC Badener Greifs","4","5","First Down","2023"
"1. ASC Badener Greifs","6","3","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","6","1","2-Extra-Punkte","2023"
"1. ASC Badener Greifs","6","5","Interception","2023"
"1. ASC Badener Greifs","6","3","Touchdown","2023"
"1. ASC Badener Greifs","9","2","Touchdown","2023"
"1. ASC Badener Greifs","9","1","First Down","2023"
"1. ASC Badener Greifs","10","1","Touchdown","2023"
"1. ASC Badener Greifs","10","3","First Down","2023"
"1. ASC Badener Greifs","10","1","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","11","2","Interception","2023"
"1. ASC Badener Greifs","12","3","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","12","5","Touchdown","2023"
"1. ASC Badener Greifs","12","4","First Down","2023"
"1. ASC Badener Greifs","12","1","Strafe","2023"
"1. ASC Badener Greifs","17","1","Touchdown","2023"
"1. ASC Badener Greifs","17","3","First Down","2023"
"1. ASC Badener Greifs","17","2","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","19","1","Strafe","2023"
"1. ASC Badener Greifs","19","12","Touchdown","2023"
"1. ASC Badener Greifs","19","15","First Down","2023"
"1. ASC Badener Greifs","19","11","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","21","1","Strafe","2023"
"1. ASC Badener Greifs","21","1","First Down","2023"
"1. ASC Badener Greifs","25","3","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","25","8","Touchdown","2023"
"1. ASC Badener Greifs","25","1","Strafe","2023"
"1. ASC Badener Greifs","25","3","First Down","2023"
"1. ASC Badener Greifs","31","2","Strafe","2023"
"1. ASC Badener Greifs","31","1","First Down","2023"
"1. ASC Badener Greifs","32","3","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","32","1","Strafe","2023"
"1. ASC Badener Greifs","32","6","First Down","2023"
"1. ASC Badener Greifs","32","9","Touchdown","2023"
"1. ASC Badener Greifs","70","1","Touchdown","2023"
"1. ASC Badener Greifs","70","1","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","70","4","First Down","2023"
"1. ASC Badener Greifs","80","2","First Down","2023"
"1. ASC Badener Greifs","80","4","Touchdown","2023"
"1. ASC Badener Greifs","80","2","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","83","2","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","83","17","First Down","2023"
"1. ASC Badener Greifs","83","8","Touchdown","2023"
"1. ASC Badener Greifs","93","1","Strafe","2023"
"1. ASC Badener Greifs","99","2","1-Extra-Punkt","2023"
"1. ASC Badener Greifs","99","2","Touchdown","2023"
"1. ASC Badener Greifs","1","10","Touchdown","2024"
"1. ASC Badener Greifs","1","13","First Down","2024"
"1. ASC Badener Greifs","1","10","1-Extra-Punkt","2024"
"1. ASC Badener Greifs","1","1","2-Extra-Punkte","2024"
"1. ASC Badener Greifs","3","1","Touchdown","2024"
"1. ASC Badener Greifs","3","1","First Down","2024"
"1. ASC Badener Greifs","4","5","First Down","2024"
"1. ASC Badener Greifs","4","3","2-Extra-Punkte","2024"
"1. ASC Badener Greifs","4","11","Interception","2024"
"1. ASC Badener Greifs","4","22","Touchdown","2024"
"1. ASC Badener Greifs","4","2","Strafe","2024"
"1. ASC Badener Greifs","4","4","1-Extra-Punkt","2024"
"1. ASC Badener Greifs","6","4","Touchdown","2024"
"1. ASC Badener Greifs","6","2","Strafe","2024"
"1. ASC Badener Greifs","6","7","Interception","2024"
"1. ASC Badener Greifs","9","1","First Down","2024"
"1. ASC Badener Greifs","11","2","1-Extra-Punkt","2024"
"1. ASC Badener Greifs","11","2","Touchdown","2024"
"1. ASC Badener Greifs","11","2","Interception","2024"
"1. ASC Badener Greifs","19","1","Strafe","2024"
"1. ASC Badener Greifs","19","1","2-Extra-Punkte","2024"
"1. ASC Badener Greifs","19","5","1-Extra-Punkt","2024"
"1. ASC Badener Greifs","19","14","Touchdown","2024"
"1. ASC Badener Greifs","19","6","First Down","2024"
"1. ASC Badener Greifs","20","3","Touchdown","2024"
"1. ASC Badener Greifs","21","1","Touchdown","2024"
"1. ASC Badener Greifs","22","1","Interception","2024"
"1. ASC Badener Greifs","22","1","Touchdown","2024"
"1. ASC Badener Greifs","28","8","First Down","2024"
"1. ASC Badener Greifs","28","6","Touchdown","2024"
"1. ASC Badener Greifs","28","8","1-Extra-Punkt","2024"
"1. ASC Badener Greifs","29","10","Touchdown","2024"
"1. ASC Badener Greifs","29","4","1-Extra-Punkt","2024"
"1. ASC Badener Greifs","29","11","First Down","2024"
"1. ASC Badener Greifs","29","2","2-Extra-Punkte","2024"
"1. ASC Badener Greifs","31","5","Interception","2024"
"1. ASC Badener Greifs","31","1","1-Extra-Punkt","2024"
"1. ASC Badener Greifs","31","1","Strafe","2024"
"1. ASC Badener Greifs","32","2","Strafe","2024"
"1. ASC Badener Greifs","32","10","Touchdown","2024"
"1. ASC Badener Greifs","32","16","First Down","2024"
"1. ASC Badener Greifs","32","4","1-Extra-Punkt","2024"
"1. ASC Badener Greifs","70","4","Touchdown","2024"
"1. ASC Badener Greifs","70","8","First Down","2024"
"1. ASC Badener Greifs","84","2","Touchdown","2024"
"1. ASC Badener Greifs","84","1","1-Extra-Punkt","2024"
"1. ASC Badener Greifs","2","1","Strafe","2025"
"1. ASC Badener Greifs","4","1","First Down","2025"
"1. ASC Badener Greifs","4","1","1-Extra-Punkt","2025"
"1. ASC Badener Greifs","11","1","First Down","2025"
"1. ASC Badener Greifs","32","1","2-Extra-Punkte","2025"
"1. ASC Badener Greifs","32","3","Touchdown","2025"
"1. ASC Badener Greifs","32","4","First Down","2025"
"1. ASC Badener Greifs","37","3","Touchdown","2025"
"1. ASC Badener Greifs","37","1","Strafe","2025"
"1. ASC Badener Greifs","37","2","First Down","2025"
"1. ASC Badener Greifs","55","1","Touchdown","2025"
"1. ASC Badener Greifs II","1","1","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","1","1","Interception","2024"
"1. ASC Badener Greifs II","1","1","Touchdown","2024"
"1. ASC Badener Greifs II","3","1","First Down","2024"
"1. ASC Badener Greifs II","6","2","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","6","1","First Down","2024"
"1. ASC Badener Greifs II","6","6","Touchdown","2024"
"1. ASC Badener Greifs II","7","1","Touchdown","2024"
"1. ASC Badener Greifs II","7","4","Interception","2024"
"1. ASC Badener Greifs II","7","1","First Down","2024"
"1. ASC Badener Greifs II","9","1","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","10","5","Touchdown","2024"
"1. ASC Badener Greifs II","10","2","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","10","3","First Down","2024"
"1. ASC Badener Greifs II","11","2","Strafe","2024"
"1. ASC Badener Greifs II","11","1","Interception","2024"
"1. ASC Badener Greifs II","11","2","Touchdown","2024"
"1. ASC Badener Greifs II","12","1","Touchdown","2024"
"1. ASC Badener Greifs II","12","1","First Down","2024"
"1. ASC Badener Greifs II","13","6","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","13","4","Touchdown","2024"
"1. ASC Badener Greifs II","13","4","First Down","2024"
"1. ASC Badener Greifs II","16","1","2-Extra-Punkte","2024"
"1. ASC Badener Greifs II","16","1","Strafe","2024"
"1. ASC Badener Greifs II","16","3","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","16","10","Touchdown","2024"
"1. ASC Badener Greifs II","16","9","First Down","2024"
"1. ASC Badener Greifs II","18","2","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","18","3","Touchdown","2024"
"1. ASC Badener Greifs II","23","8","Interception","2024"
"1. ASC Badener Greifs II","23","1","Touchdown","2024"
"1. ASC Badener Greifs II","25","3","First Down","2024"
"1. ASC Badener Greifs II","25","1","Touchdown","2024"
"1. ASC Badener Greifs II","28","2","First Down","2024"
"1. ASC Badener Greifs II","28","5","Touchdown","2024"
"1. ASC Badener Greifs II","29","1","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","29","6","Touchdown","2024"
"1. ASC Badener Greifs II","29","4","First Down","2024"
"1. ASC Badener Greifs II","32","1","Touchdown","2024"
"1. ASC Badener Greifs II","32","5","First Down","2024"
"1. ASC Badener Greifs II","33","3","Interception","2024"
"1. ASC Badener Greifs II","51","1","First Down","2024"
"1. ASC Badener Greifs II","64","2","First Down","2024"
"1. ASC Badener Greifs II","64","3","Touchdown","2024"
"1. ASC Badener Greifs II","69","3","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","69","5","First Down","2024"
"1. ASC Badener Greifs II","69","5","Touchdown","2024"
"1. ASC Badener Greifs II","70","2","First Down","2024"
"1. ASC Badener Greifs II","70","1","Touchdown","2024"
"1. ASC Badener Greifs II","77","1","2-Extra-Punkte","2024"
"1. ASC Badener Greifs II","77","3","Touchdown","2024"
"1. ASC Badener Greifs II","87","1","Touchdown","2024"
"1. ASC Badener Greifs II","90","2","Touchdown","2024"
"1. ASC Badener Greifs II","90","1","First Down","2024"
"1. ASC Badener Greifs II","90","1","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","93","1","First Down","2024"
"1. ASC Badener Greifs II","94","3","Touchdown","2024"
"1. ASC Badener Greifs II","94","1","2-Extra-Punkte","2024"
"1. ASC Badener Greifs II","96","1","Interception","2024"
"1. ASC Badener Greifs II","99","18","Touchdown","2024"
"1. ASC Badener Greifs II","99","1","Interception","2024"
"1. ASC Badener Greifs II","99","12","1-Extra-Punkt","2024"
"1. ASC Badener Greifs II","99","14","First Down","2024"
"A1","11","1","Overtime","2021"
"Aachen Emperors","0","1","Strafe","2023"
"Aachen Emperors","1","1","1-Extra-Punkt","2023"
"Aachen Emperors","1","1","Strafe","2023"
"Aachen Emperors","1","1","Touchdown","2023"
"Aachen Emperors","1","2","First Down","2023"
