Team,Player Number,Count,Event,Year
1. ASC Badener Greifs,2,1,Strafe,2025
1. ASC Badener Greifs,2,2,Touchdown,2025
1. ASC Badener Greifs,3,1,1-Extra-Punkt,2025
1. ASC Badener Greifs,4,8,Interception,2025
1. ASC Badener Greifs,4,5,First Down,2025
1. ASC Badener Greifs,4,5,1-Extra-Punkt,2025
1. ASC Badener Greifs,4,12,Touchdown,2025
1. ASC Badener Greifs,6,5,Interception,2025
1. ASC Badener Greifs,6,1,Strafe,2025
1. ASC Badener Greifs,6,3,Touchdown,2025
1. ASC Badener Greifs,9,1,Interception,2025
1. ASC Badener Greifs,11,1,Touchdown,2025
1. ASC Badener Greifs,11,3,First Down,2025
1. ASC Badener Greifs,11,1,Interception,2025
1. ASC Badener Greifs,21,1,Interception,2025
1. ASC Badener Greifs,21,3,First Down,2025
1. ASC Badener Greifs,25,3,Touchdown,2025
1. ASC Badener Greifs,25,2,1-Extra-Punkt,2025
1. ASC Badener Greifs,25,3,First Down,2025
1. ASC Badener Greifs,31,4,Interception,2025
1. ASC Badener Greifs,31,1,Touchdown,2025
1. ASC Badener Greifs,32,5,Touchdown,2025
1. ASC Badener Greifs,32,10,First Down,2025
1. ASC Badener Greifs,32,1,2-Extra-Punkte,2025
1. ASC Badener Greifs,32,5,1-Extra-Punkt,2025
1. ASC Badener Greifs,37,1,Safety (+2),2025
1. ASC Badener Greifs,37,3,1-Extra-Punkt,2025
1. ASC Badener Greifs,37,14,Touchdown,2025
1. ASC Badener Greifs,37,32,First Down,2025
1. ASC Badener Greifs,37,5,Strafe,2025
1. ASC Badener Greifs,55,1,Touchdown,2025
1. ASC Badener Greifs,67,1,Interception,2025
1. ASC Badener Greifs,82,1,Strafe,2025
1. ASC Badener Greifs,82,3,1-Extra-Punkt,2025
1. ASC Badener Greifs,82,7,First Down,2025
1. ASC Badener Greifs,82,8,Touchdown,2025
1. ASC Badener Greifs II,2,1,Touchdown,2025
1. ASC Badener Greifs II,7,1,Strafe,2025
1. ASC Badener Greifs II,10,2,First Down,2025
1. ASC Badener Greifs II,10,1,1-Extra-Punkt,2025
1. ASC Badener Greifs II,10,2,Touchdown,2025
1. ASC Badener Greifs II,11,1,Strafe,2025
1. ASC Badener Greifs II,11,1,Interception,2025
1. ASC Badener Greifs II,16,8,First Down,2025
1. ASC Badener Greifs II,16,5,1-Extra-Punkt,2025
1. ASC Badener Greifs II,16,5,Touchdown,2025
1. ASC Badener Greifs II,23,1,Interception,2025
1. ASC Badener Greifs II,25,3,Touchdown,2025
1. ASC Badener Greifs II,25,1,First Down,2025
1. ASC Badener Greifs II,25,1,Strafe,2025
1. ASC Badener Greifs II,25,4,1-Extra-Punkt,2025
1. ASC Badener Greifs II,26,1,Strafe,2025
1. ASC Badener Greifs II,26,2,1-Extra-Punkt,2025
1. ASC Badener Greifs II,26,4,Interception,2025
1. ASC Badener Greifs II,26,11,Touchdown,2025
1. ASC Badener Greifs II,26,8,First Down,2025
1. ASC Badener Greifs II,32,11,First Down,2025
1. ASC Badener Greifs II,32,1,2-Extra-Punkte,2025
1. ASC Badener Greifs II,32,4,1-Extra-Punkt,2025
1. ASC Badener Greifs II,32,2,Interception,2025
1. ASC Badener Greifs II,32,10,Touchdown,2025
1. ASC Badener Greifs II,33,2,Interception,2025
1. ASC Badener Greifs II,47,1,Interception,2025
1. ASC Badener Greifs II,55,1,Strafe,2025
1. ASC Badener Greifs II,55,8,First Down,2025
1. ASC Badener Greifs II,55,4,1-Extra-Punkt,2025
1. ASC Badener Greifs II,55,14,Touchdown,2025
1. ASC Badener Greifs II,56,1,Strafe,2025
1. ASC Badener Greifs II,67,1,Touchdown,2025
1. ASC Badener Greifs II,67,7,Interception,2025
1. ASC Badener Greifs II,67,1,Strafe,2025
1. ASC Badener Greifs II,69,2,Touchdown,2025
1. ASC Badener Greifs II,69,4,1-Extra-Punkt,2025
1. ASC Badener Greifs II,70,2,1-Extra-Punkt,2025
1. ASC Badener Greifs II,70,4,First Down,2025
1. ASC Badener Greifs II,70,4,Touchdown,2025
1. ASC Badener Greifs II,73,1,Strafe,2025
1. ASC Badener Greifs II,74,1,Interception,2025
1. ASC Badener Greifs II,78,8,Touchdown,2025
1. ASC Badener Greifs II,78,3,Strafe,2025
1. ASC Badener Greifs II,78,5,1-Extra-Punkt,2025
1. ASC Badener Greifs II,78,15,First Down,2025
1. ASC Badener Greifs II,79,6,First Down,2025
1. ASC Badener Greifs II,79,7,Touchdown,2025
1. ASC Badener Greifs II,79,1,Strafe,2025
1. ASC Badener Greifs II,79,4,1-Extra-Punkt,2025
1. ASC Badener Greifs II,80,1,1-Extra-Punkt,2025
1. ASC Badener Greifs II,80,1,First Down,2025
1. ASC Badener Greifs II,80,1,Touchdown,2025
1. ASC Badener Greifs II,82,3,1-Extra-Punkt,2025
1. ASC Badener Greifs II,82,1,2-Extra-Punkte,2025
1. ASC Badener Greifs II,82,1,First Down,2025
1. ASC Badener Greifs II,82,8,Touchdown,2025
1. ASC Badener Greifs II,90,6,First Down,2025
1. ASC Badener Greifs II,90,4,Touchdown,2025
1. ASC Badener Greifs II,90,2,1-Extra-Punkt,2025
1. ASC Badener Greifs II,93,2,Touchdown,2025
1. ASC Badener Greifs II,93,1,Interception,2025
1. ASC Badener Greifs II,99,1,Strafe,2025
1. ASC Badener Greifs II,99,5,First Down,2025
1. ASC Badener Greifs II,99,1,2-Extra-Punkte,2025
1. ASC Badener Greifs II,99,2,Touchdown,2025
1. ASC Badener Greifs II,99,1,1-Extra-Punkt,2025
Aachen Emperors,0,1,1-Extra-Punkt,2025
Aachen Emperors,0,1,Touchdown,2025
Aachen Emperors,5,1,First Down,2025
Aachen Emperors,10,12,First Down,2025
Aachen Emperors,10,4,Touchdown,2025
Aachen Emperors,10,3,1-Extra-Punkt,2025
Aachen Emperors,10,2,2-Extra-Punkte,2025
Aachen Emperors,11,1,2-Extra-Punkte,2025
Aachen Emperors,11,1,First Down,2025
Aachen Emperors,11,2,1-Extra-Punkt,2025
Aachen Emperors,11,1,Strafe,2025
Aachen Emperors,14,2,Touchdown,2025
Aachen Emperors,14,1,1-Extra-Punkt,2025
Aachen Emperors,15,1,Strafe,2025
Aachen Emperors,15,1,1-Extra-Punkt,2025
Aachen Emperors,15,8,First Down,2025
Aachen Emperors,15,6,Touchdown,2025
Aachen Emperors,17,7,Touchdown,2025
Aachen Emperors,17,1,1-Extra-Punkt,2025
Aachen Emperors,17,4,First Down,2025
Aachen Emperors,21,1,First Down,2025
Aachen Emperors,21,1,Touchdown,2025
Aachen Emperors,21,4,Interception,2025
Aachen Emperors,22,1,Touchdown,2025
Aachen Emperors,22,1,1-Extra-Punkt,2025
Aachen Emperors,24,1,Strafe,2025
Aachen Emperors,24,1,Interception,2025
Aachen Emperors,26,4,Interception,2025
Aachen Emperors,27,2,1-Extra-Punkt,2025
Aachen Emperors,27,3,First Down,2025
Aachen Emperors,27,5,Touchdown,2025
Aachen Emperors,31,1,Touchdown,2025
Aachen Emperors,31,3,Interception,2025
Aachen Emperors,31,1,Strafe,2025
Aachen Emperors,32,1,Interception,2025
Aachen Emperors,36,3,1-Extra-Punkt,2025
