Team,Opponent,Player Number,Event,Matchday,Date,Stage,Standing,Scheduled Time,Created Time
1. ASC Badener Greifs,Bornheim Badgers,37,Strafe,Badener Greifs,10.05.2025,Hauptrunde,Gruppe 1,10:00,08:10
1. ASC Badener Greifs,Lübeck Flag Cougars,4,Interception,Oldenburg Orcas,31.05.2025,Hauptrunde,Gruppe 1,15:50,15:05
1. ASC Badener Greifs,Mainz Legionaries,4,Touchdown,Mainz Legionaries,23.03.2025,Hauptrunde,Gruppe 1,15:50,16:12
1. ASC Badener Greifs,Strelitz Dukes,37,First Down,Oldenburg Orcas,31.05.2025,Hauptrunde,Gruppe 1,13:30,11:55
1. ASC Badener Greifs,Trier Biber,32,First Down,Mainz Legionaries,23.03.2025,Hauptrunde,Gruppe 1,13:30,13:25
1. ASC Badener Greifs,Würzburg Wombats,19,First Down,Walldorf Wanderers,08.06.2025,Hauptrunde,Gruppe 1,13:30,12:07
1. ASC Badener Greifs,Munich Spatzen,37,Touchdown,Augsburg Lions,03.05.2025,Hauptrunde,Gruppe 1,11:10,09:32
1. ASC Badener Greifs,Mülheim Shamrocks,37,First Down,Augsburg Lions,03.05.2025,Hauptrunde,Gruppe 1,14:40,13:53
1. ASC Badener Greifs,Duisburg Dragons,6,Touchdown,Badener Greifs,10.05.2025,Hauptrunde,Gruppe 1,14:40,13:37
1. ASC Badener Greifs,Oldenburg Orcas,25,Touchdown,Walldorf Wanderers,08.06.2025,Hauptrunde,Gruppe 1,14:40,13:19
