Team,Spielernummer,Anzahl,Event,Jahr
1. ASC Badener Greifs,1.0,5,1-Extra-Punkt,2021
1. ASC Badener Greifs,1.0,6,Touchdown,2021
1. ASC Badener Greifs,3.0,1,First Down,2021
1. ASC Badener Greifs,3.0,4,Touchdown,2021
1. ASC Badener Greifs,4.0,7,Touchdown,2021
1. ASC Badener Greifs,4.0,17,Interception,2021
1. ASC Badener Greifs,4.0,2,1-Extra-Punkt,2021
1. ASC Badener Greifs,5.0,1,Interception,2021
1. ASC Badener Greifs,6.0,15,Touchdown,2021
1. ASC Badener Greifs,6.0,5,1-Extra-Punkt,2021
1. ASC Badener Greifs,6.0,8,Interception,2021
1. ASC Badener Greifs,10.0,1,First Down,2021
1. ASC Badener Greifs,11.0,1,Strafe,2021
1. ASC Badener Greifs,12.0,1,1-Extra-Punkt,2021
1. ASC Badener Greifs,12.0,1,Interception,2021
1. ASC Badener Greifs,12.0,1,First Down,2021
1. ASC Badener Greifs,13.0,6,1-Extra-Punkt,2021
1. ASC Badener Greifs,13.0,5,Touchdown,2021
1. ASC Badener Greifs,14.0,1,1-Extra-Punkt,2021
1. ASC Badener Greifs,14.0,2,Touchdown,2021
1. ASC Badener Greifs,14.0,2,First Down,2021
1. ASC Badener Greifs,15.0,1,Safety (+2),2021
1. ASC Badener Greifs,16.0,1,Touchdown,2021
1. ASC Badener Greifs,16.0,2,1-Extra-Punkt,2021
1. ASC Badener Greifs,17.0,8,1-Extra-Punkt,2021
1. ASC Badener Greifs,17.0,2,First Down,2021
1. ASC Badener Greifs,17.0,3,Touchdown,2021
1. ASC Badener Greifs,17.0,1,Strafe,2021
1. ASC Badener Greifs,19.0,1,Interception,2021
1. ASC Badener Greifs,19.0,23,1-Extra-Punkt,2021
1. ASC Badener Greifs,19.0,14,First Down,2021
1. ASC Badener Greifs,19.0,43,Touchdown,2021
1. ASC Badener Greifs,19.0,2,Strafe,2021
1. ASC Badener Greifs,31.0,1,Touchdown,2021
1. ASC Badener Greifs,31.0,1,Strafe,2021
1. ASC Badener Greifs,31.0,5,Interception,2021
1. ASC Badener Greifs,36.0,7,Interception,2021
1. ASC Badener Greifs,36.0,1,Touchdown,2021
1. ASC Badener Greifs,36.0,2,1-Extra-Punkt,2021
1. ASC Badener Greifs,36.0,2,First Down,2021
1. ASC Badener Greifs,44.0,2,Strafe,2021
1. ASC Badener Greifs,70.0,6,1-Extra-Punkt,2021
1. ASC Badener Greifs,70.0,6,First Down,2021
1. ASC Badener Greifs,70.0,1,2-Extra-Punkte,2021
1. ASC Badener Greifs,70.0,6,Touchdown,2021
1. ASC Badener Greifs,83.0,4,1-Extra-Punkt,2021
