Team,Player Number,First Name,Last Name,ProfilePicture,Instagram,,
Lichtenberg Lions,1,Ante,Soso,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=193;0;557;0,width=1440,height=1440/image/507024381/5788ad1a-6759-4a69-84a2-be516ca966bf.jpg",,,
Lichtenberg Lions,2,Luis,Gehlert,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=109;0;514;0,width=1600,height=1600/image/508614003/abe0dd8c-67b9-4d60-93d0-1a7a3261b6e2.jpg",,,
Lichtenberg Lions,3,Merlin,Zimmerer,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=294;0;541;0,width=1600,height=1600/image/508614015/650ad6e9-ce02-4248-9249-8405cfb7103a.jpg",,,
Lichtenberg Lions,5,Ryan,McMillan,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=119;0;631;0,width=1440,height=1440/image/507024380/b6c99da9-a723-49cd-8229-b6f041a78303.jpg",,,
Lichtenberg Lions,6,Hanna,Raschdorff,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=142;0;608;0,width=1440,height=1440/image/507029821/bcdb7ad2-994e-44a3-b3d6-fae3a514f1ef.jpg",,,
Lichtenberg Lions,7,Janos,Linde,,,,
Lichtenberg Lions,8,Paul,Zickenrott,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=210;0;540;0,width=1440,height=1440/image/507024388/b132aa71-ecfd-4c5a-909d-8afba5f2a32d.jpg",,,
Lichtenberg Lions,9,Clemens,Heblich,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=244;0;506;0,width=1440,height=1440/image/507029826/f6184184-45b1-4bfa-89c3-9dfa2e27d380.jpg",,,
Lichtenberg Lions,10,René,Schröder,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=239;0;511;0,width=1440,height=1440/image/507029822/fb831789-1006-4a3d-9f9e-9b215a67bf54.jpg",,,
Lichtenberg Lions,11,Dimitry,Alekseischick,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=256;0;494;0,width=1440,height=1440/image/507029837/a7cf1dbd-141a-4100-a89f-d6a6eb6cb757.jpg",,,
Lichtenberg Lions,12,David,Schuckert,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=278;0;472;0,width=1440,height=1440/image/507029820/28143138-422d-426b-ad05-ee317c48527c.jpg",,,
Lichtenberg Lions,13,Oskar,Barucki,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=227;0;523;0,width=1440,height=1440/image/507024387/64d07a6f-800f-4a36-85eb-c2dc18c7035b.jpg",,,
Lichtenberg Lions,15,Mathias,Dix,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=188;0;562;0,width=1440,height=1440/image/507029831/6abf8413-9135-4511-b25a-bb8b6862bed2.jpg",,,
Lichtenberg Lions,16,Thilo,,,,,
Lichtenberg Lions,17,Anton,,,,,
Lichtenberg Lions,18,Florian,Buchinger,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=170;0;580;0,width=1440,height=1440/image/507024383/01f36640-232f-42a4-ab3d-f240794311c5.jpg",,,
Lichtenberg Lions,19,Marius,Roggenbuck,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=199;0;551;0,width=1440,height=1440/image/507024378/b0652975-0bcc-4fe7-a3bc-153204fae373.jpg",,,
Lichtenberg Lions,20,Jim,,,,,
Lichtenberg Lions,22,Domenic,Tackmann,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=216;0;215;0,width=1600,height=1600/image/508614185/655fe9ea-d5fc-42cf-9fec-569d47d2877f.jpg",,,
Lichtenberg Lions,23,Eugen,Otto,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=352;0;398;0,width=1440,height=1440/image/507029833/71fe30ce-1d71-4203-8455-52a0abc95381.jpg",,,
Lichtenberg Lions,24,Philip,Winkler,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=182;0;568;0,width=1440,height=1440/image/507024384/cd4d942b-58b4-499d-801c-df71349d01c8.jpg",,,
Lichtenberg Lions,25,Jean-Pierre,Wanka,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=358;0;392;0,width=1440,height=1440/image/507029823/6f958a67-d983-41f3-a78d-1e374a9f5d62.jpg",,,
Lichtenberg Lions,26,Michel,Bollinger,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=273;0;477;0,width=1440,height=1440/image/507024389/26576b1c-5131-4249-aba3-ca5b51413741.jpg",,,
Lichtenberg Lions,27,Felix,Killig,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=250;0;500;0,width=1440,height=1440/image/507024385/0639b97d-0910-4f85-8b5e-6b1758eef9f1.jpg",,,
Lichtenberg Lions,28,Chris,,,,,
Lichtenberg Lions,32,Matti,Seidel,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=341;0;409;0,width=1440,height=1440/image/507029834/085e3256-79f9-465a-badc-b8c8e2fba75d.jpg",,,
Lichtenberg Lions,33,Daniel,Roig,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=347;0;403;0,width=1440,height=1440/image/507039376/c53800fc-422a-4a85-9cd3-e021450f2f66.jpg",,,
Lichtenberg Lions,34,Serafin,,,,,
Lichtenberg Lions,37,Johannes,Jasper,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=170;0;580;0,width=1440,height=1440/image/507024379/bbc4d409-364e-471d-acb0-4c46fa7d09ae.jpg",,,
Lichtenberg Lions,42,Regina,,,,,
Lichtenberg Lions,43,Thomas,,,,,
Lichtenberg Lions,52,Marco,,,,,
Lichtenberg Lions,64,Levi,Hosenfeld,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=210;0;540;0,width=1440,height=1440/image/507040826/c4ab333e-7019-41fe-b9d6-8636cff86f1c.jpg",,,
Lichtenberg Lions,69,Diego,Sandoval,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=278;0;472;0,width=1440,height=1440/image/507041289/4444b5e2-3384-47bf-a2a7-007034c4bd62.jpg",,,
Lichtenberg Lions,77,Torsten,Metting,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=358;0;392;0,width=1440,height=1440/image/507029818/25e30ebb-433e-403a-9157-0d9e44431c52.jpg",,,
Lichtenberg Lions,80,Guido,Krähenbühl,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=142;0;608;0,width=1440,height=1440/image/507024382/254a3295-a87f-4646-bd17-5c4399ad5b42.jpg",,,
Lichtenberg Lions,81,Ernesto,Mendez,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=261;0;489;0,width=1440,height=1440/image/507024386/c70e6999-f7d4-40bd-b018-8f9f5e44e963.jpg",,,
Lichtenberg Lions,84,Robert,Reile,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=324;0;426;0,width=1440,height=1440/image/507029824/4460a56e-b032-4019-a8dd-e96477a0a68f.jpg",,,
Lichtenberg Lions,85,Jannes,Wesner,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=295;0;455;0,width=1440,height=1440/image/507041967/367359d5-4f83-48ef-afcc-66095c7e7a95.jpg",,,
Lichtenberg Lions,86,Max,Anders,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=239;0;511;0,width=1440,height=1440/image/507029825/b7bbc448-5c0e-4a56-b4af-4a4887d17201.jpg",,,
Lichtenberg Lions,89,Zden,,,,,
Lichtenberg Lions,90,Martin,Kurzweg,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=273;0;477;0,width=1440,height=1440/image/507029819/95bf6fa6-4966-48a6-86b7-a5f020fea038.jpg",,,
Lichtenberg Lions,95,Marcandrea,Hunkeler,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=121;0;121;0,width=640,height=640/image/508613658/6026176f-c522-4515-a316-315437416de8.jpg",,,
Lichtenberg Lions,96,Tom,Kinner,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=150;0;537;0,width=1382,height=1440/image/507029832/e59297a4-ddd2-412f-ac0b-5de3d45996b7.jpg",,,
Lichtenberg Lions,99,Maximilian,Buske,"https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=scale-down,format=auto,trim=358;0;392;0,width=1440,height=1440/image/507029830/c2a02eaa-da5d-4243-9263-8ed64ff13079.jpg",,,
Mainz Legionaries,2,David,Kircher,,,,
Mainz Legionaries,3,Leon,Ritter,,,,
Mainz Legionaries,4,Saskia,Liedtke,,,,
Mainz Legionaries,5,Niclas,Ehlbeck,,,,
Mainz Legionaries,6,Thomas,von Lonski,,,,
Mainz Legionaries,8,Niklas,Frey,,,,
Mainz Legionaries,10,Henning,Pribil,,,,
Mainz Legionaries,13,Marc,Peters,,,,
Mainz Legionaries,12,Benedict,Thein,,,,
Mainz Legionaries,17,Matthias,Berg,,,,
Mainz Legionaries,20,Christopher,Bell,,,,
Mainz Legionaries,18,Kevin,Jung,,,,
Mainz Legionaries,21,Frank,Pipilescu,,,,
Mainz Legionaries,22,Manuel,Auler,,,,
Mainz Legionaries,23,Alexander,Mancini,,,,
Mainz Legionaries,28,Massimo,Bissinger,,,,
Mainz Legionaries,31,Christopher,Schaeffer,,,,
Mainz Legionaries,32,Johannes,Dresel,,,,
Mainz Legionaries,34,Jonathan,Siebert,,,,
Mainz Legionaries,38,Julia,Rückel,,,,
Mainz Legionaries,36,Constance,Belmontet,,,,
Mainz Legionaries,39,Alexander,Brecher,,,,
Mainz Legionaries,71,Jonas,Dittmann,,,,
Mainz Legionaries,58,Fabian,Schwarzmeier,,,,
Mainz Legionaries,75,Christoph,Singer,,,,
Mainz Legionaries,80,Nikolaus,Zombik,,,,
Mainz Legionaries,79,Yannik,Engel,,,,
Mainz Legionaries,82,David,Werner,,,,
Mainz Legionaries,84,Nils,Medinger,,,,
Mainz Legionaries,83,Joshua,Rühs,,,,
Mainz Legionaries,85,Thomas,Buchal,,,,
Mainz Legionaries,88,Sebastian,Theil,,,,
Mainz Legionaries,87,Greta,Engel,,,,
Mainz Legionaries,89,Markus,Krüger,,,,
Duisburg Dragons,3,Malik,Al-Kahlout,,,,
Duisburg Dragons,21,Mirko,Miadowicz,,,,
Duisburg Dragons,22,Finn,Boyer,,,,
Duisburg Dragons,27,Jan,Wilhelm,,,,
Duisburg Dragons,32,Leonard,Schultz,,,,
Duisburg Dragons,44,Philipp,Bogda,,,,
Duisburg Dragons,88,Philipp,Leitlauf,,,,
