Team,LogoPath,InstagramURL,Description
Mainz Legionaries,logos/mainz_legionaries.png,https://www.instagram.com/mainz_legionaries/,"DFFL-Vizemeister 2023🥈
Flag Team from Mainz 🇩🇪
FLINTA* Team: @mainz_elecorns 🌈🐘
www.mainz-legionaries.de"
Duisburg Dragons,logos/duisburg_dragons.png,https://www.instagram.com/duisburgdragons/,"5-on-5 Flagfootball-Squad of @sv.wanheim
1st German League (DFFL)
3rd German League (RLWest)
#oneteam"
Trier Biber,logos/trier_biber.png,https://www.instagram.com/trierbiber/,"Flag Football
Made in Trier 🏈
Trainingszeiten:
Ab 16: 1st German League DFFL
Di und Do je 20:45-22:30 Uhr
12-16: Do 19-20:30 Uhr
Facebook:Trier Biber"
Mülheim Shamrocks,logos/mulheim_shamrocks.png,https://www.instagram.com/muelheimshamrocks/,"Wir:
@muelheim_shamrocks_herren
@muelheimshamrocks_womenstackle
@muelheim_shamrocks_juniors
@muelheim_shamrocks_cheerleader
@muelheim_shamrocks_flags
www.muelheim-shamrocks.de"
Lichtenberg Lions,logos/lichtenberg_lions.png,https://www.instagram.com/lichlions/,"SV BVB 49 Berlin-Lichtenberg Lions
🦁🦁🔵🟡🏈
Flag Football
Alle Infos & unser Merchandise ⬇️
Siegfriedstraße 71, Berlin, Germany 10365
www.lichlions.de"
Oldenburg Orcas,logos/oldenburg_orcas.png,https://www.instagram.com/oldenburg_orcas/,"Oldenburg Orcas 🖤🤍💪🏻🏈
Flagfootball Team from Oldenburg @btboldenburg
Champs. 🏆
#letshunt
#wwgnh"
Lübeck Flag Cougars,logos/lubeck_cougars.png,https://www.instagram.com/flagcougars/,"Mixed 5er Flag Football 🏈
Montag 19-21 Uhr
Freitag 18-20 Uhr
Einsteiger:
Mittwoch 18:30-20:30Uhr
DM us
Buniamshof | Wallstr. 36 | 23560 Lübeck
https://www.luebeck-cougars.de/teams/flag-cougars/"
Baltic Blue Stars Rostock e.V.,logos/baltic_blue_stars.png,https://www.instagram.com/blue_stars_rostock/,"⭐️LET‘S DO THIS!⭐️
🏈 Tackle Football
🏈 Junior- & Senior Flag Football
⬇️ Fanshop
www.bluestars-football.de"
Munich Spatzen,logos/munich_spatzen.png,https://www.instagram.com/munichspatzen/,"Flag Football Club📍Munich
German Champion 2024 🥇
German Runner-Up 2019, 2021, 2022🥈
Damen & U16 & U19 Anmeldung ⬇️@
www.munich-spatzen.de"
Augsburg Lions,logos/augsburg_lions.png,https://www.instagram.com/augsburglions/,"Uni Augsburg | 5er DFFL
DEUTSCHE MEISTERINNEN 2024 🏆
DEUTSCHER HOCHSCHULMEISTER 23, 24🏆
Platz 3 beim Final8 2023 🥉
www.augsburglions.de"
Nürnberg Renegades,logos/nurnberg_renegades.png,https://www.instagram.com/renegades_nuernberg/,"Since 2023
📍First Flag Football Club in Nuremberg
🏈 DFFL1
www.nuernberg-renegades.de"
Würzburg Wombats,logos/wurzburg_wombats.png,https://www.instagram.com/wuerzburg_wombats/,"Mixed Senior Flag Football Team (5on5)
🏈 Deutsche Flag Football Liga
📍 Training: Mo 18:00 - 19:30 / Mi 17:15 - 19:00
💬 Bei Interesse gerne DM
www.wuerzburgwombats.de"
Walldorf Wanderers,logos/walldorf_wanderers.png,https://www.instagram.com/walldorfwanderers/,"🥇 7 x Deutscher Meister (Men)
🥈 1 x Vize Deutscher Meister (Women)
🥇 2 x ChampionsBowl Winners (Men)
Host of Europe’s Biggest Flag Football Tournament
Okrifteler Straße 6, Mörfelden-Walldorf 64546
www.tgs-walldorf.de/de/sportangebot/flagfootball"
SG Kelkheim Lizzards,logos/kelkheim_lizzards.png,https://www.instagram.com/kelkheim.lizzards/,"Flag Football in Germany since 2001 🏈
Join the Lizzards!
Facebook: kelkheim.lizzards
www.lizzards.de"
1. ASC Badener Greifs,logos/badener_greifs.png,https://www.instagram.com/badener_greifs/,"📍 Karlsruhe
🏈 American Football & Cheerleading seit 1982
www.greifs.de/linktree"
Stuttgart Scorpions,logos/stuttgart_scorpions.png,https://www.instagram.com/scorpions.flag/,"Official Instagram account of the Flag Football team @stuttgartscorpions
#flagisred
www.stuttgart-scorpions.de"
Strelitz Dukes,logos/strelitz_dukes.png,https://www.instagram.com/strelitzdukesfootball/,"🇩🇪DFFL
🏆DFFL2 Division NordOst 2024
📍Neustrelitz
Seniors: Mo ab 19 Uhr & Mi ab 19:30 im Harbig Stadion
U16: Mi 15:00 - 16:30 Uhr im Harbig Stadion
www.strelitzdukes.de"
Bornheim Badgers,logos/bornheim_badgers.png,https://www.instagram.com/bornheim_badgers/,"🦡 | Flag Football Team der @tgbornheim
🏈 | DFFL 1
🏈 | Regionalliga
🏃🏽 | Sportanlage SG Riederwald
www.tgbornheim.de/app/%23abteilung/flag%2520football/flagfootball"
